game_id,season,week,date,kickoff_et,home_team,away_team,home_score,away_score,home_win,spread_close,total_close
2018_01_ATL_PHI,2018,1,2018-09-06,20:20,PHI,ATL,18,12,1,1,44.5
2018_01_BUF_BAL,2018,1,2018-09-09,13:00,BAL,BUF,47,3,1,7.5,39
2018_01_PIT_CLE,2018,1,2018-09-09,13:00,CLE,PIT,21,21,0,-3.5,41
2018_01_CIN_IND,2018,1,2018-09-09,13:00,IND,CIN,23,34,0,-1,47.5
2018_01_TEN_MIA,2018,1,2018-09-09,13:00,MIA,TEN,27,20,1,-1,43.5
2018_01_SF_MIN,2018,1,2018-09-09,13:00,MIN,SF,24,16,1,6,46.5
2018_01_HOU_NE,2018,1,2018-09-09,13:00,NE,HOU,27,20,1,6,49.5
2018_01_TB_NO,2018,1,2018-09-09,13:00,NO,TB,40,48,0,10,50
2018_01_JAX_NYG,2018,1,2018-09-09,13:00,NYG,JAX,15,20,0,-2.5,43
2018_01_KC_LAC,2018,1,2018-09-09,16:05,LAC,KC,28,38,0,3.5,48
2018_01_WAS_ARI,2018,1,2018-09-09,16:25,ARI,WAS,6,24,0,2,43.5
2018_01_DAL_CAR,2018,1,2018-09-09,16:25,CAR,DAL,16,8,1,2.5,42.5
2018_01_SEA_DEN,2018,1,2018-09-09,16:25,DEN,SEA,27,24,1,3,42.5
2018_01_CHI_GB,2018,1,2018-09-09,20:20,GB,CHI,24,23,1,6.5,45
2018_01_NYJ_DET,2018,1,2018-09-10,19:10,DET,NYJ,17,48,0,7,44
2018_01_LA_OAK,2018,1,2018-09-10,22:20,OAK,LA,13,33,0,-6,47.5
2018_02_BAL_CIN,2018,2,2018-09-13,20:20,CIN,BAL,34,23,1,1,43
2018_02_CAR_ATL,2018,2,2018-09-16,13:00,ATL,CAR,31,24,1,5.5,44
2018_02_LAC_BUF,2018,2,2018-09-16,13:00,BUF,LAC,20,31,0,-7.5,41.5
2018_02_MIN_GB,2018,2,2018-09-16,13:00,GB,MIN,29,29,0,-2,45
2018_02_CLE_NO,2018,2,2018-09-16,13:00,NO,CLE,21,18,1,10,51
2018_02_MIA_NYJ,2018,2,2018-09-16,13:00,NYJ,MIA,12,20,0,3,43
2018_02_KC_PIT,2018,2,2018-09-16,13:00,PIT,KC,37,42,0,4.5,52
2018_02_PHI_TB,2018,2,2018-09-16,13:00,TB,PHI,27,21,1,-3,46.5
2018_02_HOU_TEN,2018,2,2018-09-16,13:00,TEN,HOU,20,17,1,-3.5,41
2018_02_IND_WAS,2018,2,2018-09-16,13:00,WAS,IND,9,21,0,6,48
2018_02_ARI_LA,2018,2,2018-09-16,16:05,LA,ARI,34,0,1,13.5,43.5
2018_02_DET_SF,2018,2,2018-09-16,16:05,SF,DET,30,27,1,6,48.5
2018_02_OAK_DEN,2018,2,2018-09-16,16:25,DEN,OAK,20,19,1,5.5,44.5
2018_02_NE_JAX,2018,2,2018-09-16,16:25,JAX,NE,31,20,1,-2,44.5
2018_02_NYG_DAL,2018,2,2018-09-16,20:20,DAL,NYG,20,13,1,3,42
2018_02_SEA_CHI,2018,2,2018-09-17,20:15,CHI,SEA,24,17,1,5,42.5
2018_03_NYJ_CLE,2018,3,2018-09-20,20:20,CLE,NYJ,21,17,1,3,41
2018_03_NO_ATL,2018,3,2018-09-23,13:00,ATL,NO,37,43,0,1.5,54
2018_03_DEN_BAL,2018,3,2018-09-23,13:00,BAL,DEN,27,14,1,5.5,46
2018_03_CIN_CAR,2018,3,2018-09-23,13:00,CAR,CIN,31,21,1,2.5,44
2018_03_NYG_HOU,2018,3,2018-09-23,13:00,HOU,NYG,22,27,0,6.5,44
2018_03_TEN_JAX,2018,3,2018-09-23,13:00,JAX,TEN,6,9,0,10,39
2018_03_SF_KC,2018,3,2018-09-23,13:00,KC,SF,38,27,1,6,53
2018_03_OAK_MIA,2018,3,2018-09-23,13:00,MIA,OAK,28,20,1,3,46
2018_03_BUF_MIN,2018,3,2018-09-23,13:00,MIN,BUF,6,27,0,16.5,41
2018_03_IND_PHI,2018,3,2018-09-23,13:00,PHI,IND,20,16,1,6.5,45.5
2018_03_GB_WAS,2018,3,2018-09-23,13:00,WAS,GB,31,17,1,-2.5,46.5
2018_03_LAC_LA,2018,3,2018-09-23,16:05,LA,LAC,35,23,1,7.5,49
2018_03_CHI_ARI,2018,3,2018-09-23,16:25,ARI,CHI,14,16,0,-6,39
2018_03_DAL_SEA,2018,3,2018-09-23,16:25,SEA,DAL,24,13,1,1,40
2018_03_NE_DET,2018,3,2018-09-23,20:20,DET,NE,26,10,1,-7,55.5
2018_03_PIT_TB,2018,3,2018-09-24,20:15,TB,PIT,27,30,0,1,55
2018_04_MIN_LA,2018,4,2018-09-27,20:20,LA,MIN,38,31,1,7.5,48.5
2018_04_CIN_ATL,2018,4,2018-09-30,13:00,ATL,CIN,36,37,0,3.5,52
2018_04_TB_CHI,2018,4,2018-09-30,13:00,CHI,TB,48,10,1,3,46
